,RLbC1,RLbC2,RLbC3,RLbC4,RLbC5,RLbC6,RXsC1,RXsC2,RXsC3,RXsC4,RXsC5,RXsC6
Methylocystis,0,1,0,0,0,0,0,0,1,0,2,1
Papillibacter,0,0,0,0,0,0,1,1,0,1,1,1
Renibacterium,0,0,0,0,0,0,0,1,0,0,4,0
Rhodocyclus,0,0,0,1,0,2,0,0,0,1,1,0
Rhodopseudomonas,0,0,0,0,0,0,1,0,2,0,1,1
Solitalea,0,0,0,0,0,0,2,2,0,1,0,0
Aeromicrobium,0,0,0,0,0,0,0,0,4,0,0,0
Aureimonas,0,0,0,1,0,0,0,0,1,0,2,0
Clostridium_XlVa,0,0,0,0,1,0,0,0,0,2,1,0
Constrictibacter,0,0,0,1,2,1,0,0,0,0,0,0
Fluviimonas,1,0,0,0,0,0,2,1,0,0,0,0
Herbiconiux,1,0,0,0,1,0,0,0,1,0,1,0
Herminiimonas,0,0,0,0,0,0,2,2,0,0,0,0
Jahnella,0,0,0,0,0,0,2,1,0,1,0,0
Labrys,2,0,0,0,0,0,2,0,0,0,0,0
Pseudoxanthomonas,3,0,1,0,0,0,0,0,0,0,0,0
Rhodomicrobium,4,0,0,0,0,0,0,0,0,0,0,0
Rhodopila,0,0,0,0,0,0,0,1,0,1,0,2
Tumebacillus,0,0,0,0,0,0,2,0,2,0,0,0
Virgibacillus,0,0,0,0,0,0,0,0,4,0,0,0
Agrococcus,0,0,0,0,0,0,0,0,0,0,0,3
Agromyces,0,0,0,0,0,0,0,1,0,0,1,1
Amycolatopsis,1,0,0,0,0,0,0,1,0,0,1,0
Buchnera,0,0,0,0,0,0,0,0,0,0,1,2
Crocinitomix,1,0,0,0,1,0,1,0,0,0,0,0
Cupriavidus,0,0,0,0,0,0,2,0,0,0,1,0
Flectobacillus,0,0,0,2,0,0,1,0,0,0,0,0
Geodermatophilus,0,0,0,0,0,0,1,0,0,0,2,0
Leucobacter,0,0,0,1,0,0,0,2,0,0,0,0
Marmoricola,0,0,0,0,0,0,0,0,2,0,0,1
Microvirgula,0,0,0,0,0,0,2,0,0,0,0,1
Neorhizobium,0,0,0,1,0,0,0,0,1,0,0,1
Oryzihumus,1,0,0,0,0,0,0,1,0,0,0,1
Peredibacter,1,0,0,0,0,0,0,0,2,0,0,0
Romboutsia,0,0,0,0,0,0,3,0,0,0,0,0
Streptacidiphilus,0,0,0,0,0,0,0,3,0,0,0,0
Thioprofundum,0,0,1,0,0,0,0,0,0,0,0,2
Uliginosibacterium,0,0,0,0,0,0,1,0,1,0,0,1
Vulgatibacter,0,0,0,0,0,0,1,1,0,1,0,0
Acetobacteroides,0,0,0,0,0,0,0,0,0,1,1,0
Aquabacter,2,0,0,0,0,0,0,0,0,0,0,0
Belnapia,0,0,0,0,0,0,0,0,1,0,1,0
Cohnella,0,0,0,0,0,0,2,0,0,0,0,0
Diaminobutyricibacter,0,0,0,0,0,0,0,1,0,0,1,0
Domibacillus,0,1,0,0,0,0,0,0,0,0,0,1
Dyadobacter,0,0,0,0,0,0,0,1,1,0,0,0
Gordonia,0,0,0,0,0,0,1,0,1,0,0,0
Gracilibacter,0,0,0,0,0,0,2,0,0,0,0,0
Kutzneria,0,1,1,0,0,0,0,0,0,0,0,0
Lysinibacillus,0,0,0,0,0,0,0,2,0,0,0,0
Microvirga,0,0,0,0,0,0,0,1,0,0,0,1
Nitriliruptor,0,0,0,0,0,0,1,0,0,0,0,1
Pelagibius,0,0,0,0,0,0,0,1,0,1,0,0
Polynucleobacter,1,0,0,0,0,0,0,0,0,0,0,1
Rubellimicrobium,0,2,0,0,0,0,0,0,0,0,0,0
Skermanella,0,0,0,0,0,0,1,0,0,1,0,0
Sphingobacterium,0,0,0,0,0,0,0,0,1,0,1,0
Sulfuricella,0,0,1,0,0,0,1,0,0,0,0,0
Truepera,0,0,0,0,0,0,0,2,0,0,0,0
Variibacter,0,0,0,0,0,0,0,1,0,0,0,1
Acidicaldus,0,0,0,0,0,0,0,0,1,0,0,0
Acidithiobacillus,0,0,0,0,1,0,0,0,0,0,0,0
Acidocella,0,1,0,0,0,0,0,0,0,0,0,0
Actinomyces,0,0,0,0,0,0,0,0,1,0,0,0
Advenella,0,0,0,0,0,0,0,0,0,0,0,1
Ammoniphilus,0,0,0,0,0,0,0,0,1,0,0,0
Amnibacterium,0,0,0,0,0,0,0,0,0,0,0,1
Angiococcus,0,0,0,0,0,0,0,0,0,1,0,0
Bdellovibrio,0,0,0,0,0,0,0,1,0,0,0,0
Chryseoglobus,0,1,0,0,0,0,0,0,0,0,0,0
Clavibacter,0,0,0,0,0,0,0,1,0,0,0,0
Desulfosalsimonas,0,0,0,0,1,0,0,0,0,0,0,0
Falsibacillus,0,0,0,0,0,0,1,0,0,0,0,0
Kitasatospora,0,0,0,0,0,0,1,0,0,0,0,0
Leptospirillum,0,0,0,0,0,0,1,0,0,0,0,0
Micromonospora,0,0,0,0,0,0,0,0,1,0,0,0
Nisaea,0,0,0,0,0,0,1,0,0,0,0,0
Nitrosomonas,0,0,0,0,0,0,0,1,0,0,0,0
Parafilimonas,0,0,0,0,0,0,1,0,0,0,0,0
Paralcaligenes,0,0,0,0,0,0,0,0,0,0,0,1
Polaromonas,0,1,0,0,0,0,0,0,0,0,0,0
Pseudoduganella,0,0,0,0,0,0,0,0,1,0,0,0
Riemerella,0,0,0,0,0,0,1,0,0,0,0,0
Solibacillus,0,0,0,0,0,0,0,0,0,0,0,1
Stella,0,0,0,0,0,0,0,1,0,0,0,0
Tangfeifania,0,0,0,0,0,0,0,0,0,0,1,0
Turicibacter,0,0,0,0,0,0,0,0,0,1,0,0
Williamsia,0,0,0,0,0,0,0,1,0,0,0,0
