OTUID	developmental_stages
HLBM1	1
HLBM2	1
HLBM3	1
HLBM4	1
HLBM5	1
HLBF1	2
HLBF2	2
HLBF3	2
HLBF5	2
HLBF6	2
HLBY1	3
HLBY2	3
HLBY3	3
HLBY4	3
HLBY5	3
HLBC1	4
HLBC2	4
HLBC3	4
HLBC4	4
HLBC6	4
HXsM1	1
HXsM2	1
HXsM3	1
HXsM4	1
HXsM5	1
HXsF1	2
HXsF2	2
HXsF3	2
HXsF4	2
HXsF5	2
HXsY1	3
HXsY2	3
HXsY3	3
HXsY4	3
HXsY6	3
HXsC1	4
HXsC2	4
HXsC3	4
HXsC5	4
HXsC6	4
